GBIF.common.name,LPI.common.name,species
Angler / Anglerfish,Anglerfish,Lophius piscatorius
Arctic / Mountain hare,Arctic / Mountain hare,Lepus timidus
Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus
Arctic loon / Black-throated diver,Arctic loon / Black-throated diver,Gavia arctica
Arctic tern,Arctic tern,Sterna paradisaea
Argentine / Atlantic argentine / Great silver smelt,Atlantic argentine,Argentina silus
Atlantic cod / Cod,Atlantic cod / Cod,Gadus morhua
Atlantic halibut / Fletch / Flitch,Atlantic halibut,Hippoglossus hippoglossus
Atlantic herring,Atlantic herring,Clupea harengus
Atlantic horse mackerel / Blue mackerel / Common scad,Atlantic horse mackerel,Trachurus trachurus
Atlantic mackerel / Joey / Mackerel,Atlantic mackerel,Scomber scombrus
Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus
Atlantic puffin,Atlantic puffin,Fratercula arctica
Atlantic salmon,Atlantic salmon,Salmo salar
Atlantic wolffish / Cat-fish,Atlantic wolffish,Anarhichas lupus
Balearic shearwater,Balearic shearwater,Puffinus mauretanicus
Baltic flounder,Baltic flounder,Platichthys flesus
Bank vole,Bank vole,Myodes glareolus
Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica
Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis
Basking shark,Basking shark,Cetorhinus maximus
Bean goose,Bean goose,Anser fabalis
Black-bellied angler / Blackbellied angler / European anglerfish / Black bellied anglerfish,Black bellied anglerfish,Lophius budegassa
Black guillemot,Black guillemot,Cepphus grylle
Black-billed magpie / Eurasian magpie,Black-billed magpie / Eurasian magpie,Pica pica
Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla
Black-tailed godwit,Black-tailed godwit,Limosa limosa
Blackbelly rosefish / Blue-mouth / Blue-mouth redfish,Blackbelly rosefish,Helicolenus dactylopterus
Blackcap,Blackcap,Sylvia atricapilla
Blonde ray,Blonde ray,Raja brachyura
Blue tit,Blue tit,Parus caeruleus
Blue whiting / Couch's whiting,Blue whiting,Micromesistius poutassou
Boar fish,Boar-fish,Capros aper
Bottlenose dolphin,Bottlenose dolphin,Tursiops truncatus
Brown long-eared bat,Brown long-eared bat,Plecotus auritus
Brown trout / Sea trout,Brown trout / Sea trout,Salmo trutta
Bullfinch / Eurasian bullfinch,Bullfinch / Eurasian bullfinch,Pyrrhula pyrrhula
Canada goose,Canada goose,Branta canadensis
Carrion crow / Hooded crow,Carrion crow / Hooded crow,Corvus corone
Cetti's warbler,Cetti's warbler,Cettia cetti
Chaffinch,Chaffinch,Fringilla coelebs
Chiffchaff / Common chiffchaff,Chiffchaff / Common chiffchaff,Phylloscopus collybita
Cirl bunting,Cirl bunting,Emberiza cirlus
Coal tit,Coal tit,Parus ater
Common blackbird / Eurasian blackbird,Common blackbird / Eurasian blackbird,Turdus merula
Common buzzard,Common buzzard,Buteo buteo
Common cuckoo / Eurasian cuckoo,Common cuckoo / Eurasian cuckoo,Cuculus canorus
Common eider,Common eider,Somateria mollissima
Common goby,Common goby,Pomatoschistus microps
Common goldeneye,Common goldeneye,Bucephala clangula
Common kestrel,Common kestrel,Falco tinnunculus
Common Lizard / Viviparous Lizard,Common Lizard / Viviparous Lizard,Zootoca vivipara
Common merganser,Common merganser / Goosander,mergus merganser
