"","species"
"1","Plethodon_cinereus"
"2","Aneides_aeneus"
"3","Rana_temporaria"
"4","Salamandra_salamandra"
"5","Anaxyrus_canorus"
"6","Lithobates_sylvaticus"
"7","Plethodon_jordani"
"8","Desmognathus_aeneus"
"9","Desmognathus_monticola"
"10","Desmognathus_ochrophaeus"
"11","Desmognathus_quadramaculatus"
"12","Plethodon_glutinosus"
"13","Pseudacris_regilla"
"14","Hyla_versicolor"
"15","Siren_intermedia"
"16","Anaxyrus_terrestris"
"17","Gastrophryne_carolinensis"
"18","Pseudacris_crucifer"
"19","Pseudacris_nigrita"
"20","Pseudacris_ornata"
"21","Lithobates_clamitans"
"22","Lithobates_sphenocephalus"
"23","Scaphiopus_holbrookii"
"24","Ambystoma_opacum"
"25","Ambystoma_talpoideum"
"26","Ambystoma_tigrinum"
"27","Eurycea_quadridigitata"
"28","Notophthalmus_viridescens"
"29","Hyla_arborea"
"30","Bufo_bufo"
"31","Rana_dalmatina"
"32","Philoria_frosti"
"33","Leiopelma_archeyi"
"34","Triturus_cristatus"
"35","Lissotriton_vulgaris"
"36","Epidalea_calamita"
"37","Lithobates_catesbeianus"
"38","Anaxyrus_americanus"
"39","Lithobates_septentrionalis"
"40","Lithobates_pipiens"
"41","Lithobates_palustris"
"42","Pseudacris_maculata"
"43","Hyla_chrysoscelis"
"44","Acris_crepitans"
"45","Ambystoma_maculatum"
"46","Pseudophryne_corroboree"
"47","Pseudophryne_pengilleyi"
"48","Aneides_hardii"
"49","Anaxyrus_fowleri"
"50","Leiopelma_pakeka"
"51","Eleutherodactylus_coqui"
"52","Eleutherodactylus_portoricensis"
"53","Eleutherodactylus_gryllus"
"54","Eleutherodactylus_unicolor"
"55","Lithobates_yavapaiensis"
"56","Pyxicephalus_adspersus"
"57","Ambystoma_californiense"
"58","Pseudacris_triseriata"
"59","Sooglossus_sechellensis"
"60","Sechellophryne_gardineri"
"61","Anaxyrus_boreas"
"62","Agalychnis_callidryas"
"63","Incilius_valliceps"
"64","Dendropsophus_ebraccatus"
"65","Tlalocohyla_loquax"
"66","Dendropsophus_microcephalus"
"67","Tlalocohyla_picta"
"68","Hypopachus_variolosus"
"69","Lithobates_berlandieri"
"70","Scinax_staufferi"
"71","Smilisca_baudinii"
"72","Trachycephalus_venulosus"
"73","Triprion_petasatus"
"74","Gastrophryne_elegans"
"75","Gyrinophilus_porphyriticus"
"76","Litoria_rothii"
"77","Ambystoma_macrodactylum"
"78","Mixophyes_fleayi"
