species,person,range,notes
Larus genei,John,26000000,
Thalasseus sandvicensis,John,87000000,
Larus fuscus,John,19800000,
Haliaeetus albicilla,John,43200000,
Morus bassanus,John,41700000,
Falco peregrinus,John,387000000,
Meleagris gallopavo,John,11400000,
Euphagus carolinus,John,11700000,
Carpodacus mexicanus,John,NA,
Anas acuta,John,69100000,
Larus philadelphia,John,6350000,
Bonasa bonasia,John,30700000,
Circus aeruginosus,John,29100000,
Oxyura leucocephala,John,17600000,
Anser anser,John,31700000,
Larus melanocephalus,John,7980000,
Bubulcus ibis,John,355000000,
Platalea leucorodia,John,56200000,
Phoenicopterus roseus,John,58100000,
Ardea alba,John,346000000,
Plegadis falcinellus,John,180000000,
Grus grus,John,25600000,
Phalacrocorax carbo,John,323000000,
Accipiter nisus,John,54400000,
Dryobates minor,John,39300000,
Perdix perdix,John,16900000,
Cygnus olor,John,22500000,
Podiceps auritus,John,26000000,
Baeolophus bicolor,John,4200000,
Asio flammeus,John,268000000,
Zenaida macroura,John,23700000,
Pica pica,John,58600000,
Parus hudsonicus,John,NA,
Cardinalis cardinalis,John,10700000,
Tringa melanoleuca,John,9080000,
Haliaeetus leucocephalus,John,28400000,
Sitta carolinensis,John,14900000,
Dendroica pinus,John,NA,
Lophodytes cucullatus,John,10200000,
Mergus merganser,John,77900000,
Strix nebulosa,John,44700000,
Cathartes aura,John,8150000,
Carpodacus purpureus,John,NA,
Ammodramus henslowii,John,NA,
Antigone canadensis,John,33500000,
Lanius ludovicianus,John,13500000,
Anas platyrhynchos,John,127000000,
Ixobrychus exilis,John,41300000,
Sialia mexicana,John,4700000,
Cyanocitta cristata,John,12000000,
Phalacrocorax auritus,John,28100000,
Spizella arborea,John,NA,
Branta canadensis,John,24200000,
Ammodramus savannarum,John,18200000,
Empidonax flaviventris,John,7140000,
Passerella iliaca,John,10300000,
Stelgidopteryx serripennis,John,17100000,
Vermivora cyanoptera,John,2280000,
Mareca strepera,John,73100000,
Mergus serrator,John,64900000,
Melanerpes carolinus,John,4440000,
Spatula clypeata,John,89900000,
Vireo philadelphicus,John,4530000,
Falcipennis canadensis,John,11000000,
Strix varia,John,16300000,
Accipiter gentilis,John,115000000,
Spizella pallida,John,5370000,
Wilsonia canadensis,John,NA,
Myiarchus crinitus,John,13200000,
Thryothorus ludovicianus,John,6560000,
Spizella pusilla,John,5630000,
Hydroprogne caspia,John,226000000,
Himantopus himantopus,John,302000000,
Coturnicops noveboracensis,John,6000000,
Pelecanus erythrorhynchos,John,28900000,
Rallus limicola,John,28900000,
Vermivora celata,John,NA,
Buteo lineatus,John,9590000,
Accipiter striatus,John,68400000,
Picoides tridactylus,John,67000000,
Falco mexicanus,John,4870000,
Cepphus grylle,John,44100000,
Tringa semipalmata,John,16300000,
Zonotrichia leucophrys,John,19000000,
Aegolius acadicus,John,18700000,
Loxia curvirostra,John,129000000,
