"","species"
"1","Larus genei"
"2","Thalasseus sandvicensis"
"3","Larus fuscus"
"4","Haliaeetus albicilla"
"5","Morus bassanus"
"6","Falco peregrinus"
"7","Meleagris gallopavo"
"8","Euphagus carolinus"
"9","Carpodacus mexicanus"
"10","Anas acuta"
"11","Larus philadelphia"
"12","Bonasa bonasia"
"13","Circus aeruginosus"
"14","Oxyura leucocephala"
"15","Anser anser"
"16","Larus melanocephalus"
"17","Bubulcus ibis"
"18","Platalea leucorodia"
"19","Phoenicopterus roseus"
"20","Ardea alba"
"21","Plegadis falcinellus"
"22","Grus grus"
"23","Phalacrocorax carbo"
"24","Accipiter nisus"
"25","Dryobates minor"
"26","Perdix perdix"
"27","Cygnus olor"
"28","Podiceps auritus"
"29","Baeolophus bicolor"
"30","Asio flammeus"
"31","Zenaida macroura"
"32","Pica pica"
"33","Parus hudsonicus"
"34","Cardinalis cardinalis"
"35","Tringa melanoleuca"
"36","Haliaeetus leucocephalus"
"37","Sitta carolinensis"
"38","Dendroica pinus"
"39","Lophodytes cucullatus"
"40","Mergus merganser"
"41","Strix nebulosa"
"42","Cathartes aura"
"43","Carpodacus purpureus"
"44","Ammodramus henslowii"
"45","Antigone canadensis"
"46","Lanius ludovicianus"
"47","Anas platyrhynchos"
"48","Ixobrychus exilis"
"49","Sialia mexicana"
"50","Cyanocitta cristata"
"51","Phalacrocorax auritus"
"52","Spizella arborea"
"53","Branta canadensis"
"54","Ammodramus savannarum"
"55","Empidonax flaviventris"
"56","Passerella iliaca"
"57","Stelgidopteryx serripennis"
"58","Vermivora cyanoptera"
"59","Mareca strepera"
"60","Mergus serrator"
"61","Melanerpes carolinus"
"62","Spatula clypeata"
"63","Vireo philadelphicus"
"64","Falcipennis canadensis"
"65","Strix varia"
"66","Accipiter gentilis"
"67","Spizella pallida"
"68","Wilsonia canadensis"
"69","Myiarchus crinitus"
"70","Thryothorus ludovicianus"
"71","Spizella pusilla"
"72","Hydroprogne caspia"
"73","Himantopus himantopus"
"74","Coturnicops noveboracensis"
"75","Pelecanus erythrorhynchos"
"76","Rallus limicola"
"77","Vermivora celata"
"78","Buteo lineatus"
"79","Accipiter striatus"
"80","Picoides tridactylus"
"81","Falco mexicanus"
"82","Cepphus grylle"
"83","Tringa semipalmata"
"84","Zonotrichia leucophrys"
"85","Aegolius acadicus"
"86","Loxia curvirostra"
"87","Icteria virens"
"88","Glaucidium californicum"
"89","Histrionicus histrionicus"
"90","Gavia pacifica"
"91","Butorides striata"
"92","Falco columbarius"
"93","Empidonax traillii"
"94","Pipilo erythrophthalmus"
"95","Porzana carolina"
"96","Cistothorus palustris"
"97","Melospiza melodia"
"98","Polioptila caerulea"
"99","Dendragapus obscurus"
"100","Mimus polyglottos"
"101","Certhia americana"
"102","Aquila chrysaetos"
"103","Pandion haliaetus"
"104","Molothrus ater"
"105","Vireo flavifrons"
