"","X","species","biome","system","Country.list","Class","lengthyear","Decimal.Latitude","Decimal.Longitude","id","n","intercept","slope","intercept_se","slope_se","intercept_p","slope_p","Red.List.status"
"1",1,"Abramis brama","Temperate floodplain rivers and wetlands","Freshwater","Netherlands","Actinopterygii",10,52.83333,5.78333,6087,20,-328.487440107326,0.16584041397815,61.747569376996,0.0311698590131319,3.3096582687354e-05,3.30445015590305e-05,"LC"
"2",2,"Abrothrix longipilis","Temperate broadleaf and mixed forests","Terrestrial","Chile","Mammalia",18,-39.63333,-73.11667,4887,17,165.635934664247,-0.0833635813672112,27.586098487713,0.0138692779753921,1.42179343647194e-05,1.40415421717618e-05,"LC"
"3",3,"Abrothrix olivaceus","Temperate broadleaf and mixed forests","Terrestrial","Chile","Mammalia",10,-31.5,-71.1,4600,9,246.452648221345,-0.123952569169961,112.404712622672,0.0564279974830428,0.0560171559516469,0.0556436929406694,"LC"
"4",4,"Abrothrix olivaceus","Temperate broadleaf and mixed forests","Terrestrial","Chile","Mammalia",10,-31.5,-71.1,4601,9,160.822523744911,-0.0808683853459969,129.993951128567,0.0652579253657917,0.247336058976595,0.246608717571599,"LC"
"5",5,"Acanthaluteres vittiger","Unknown","Marine","Australia","Actinopterygii",10,-43.044994,147.356001,11859,8,20.279314083895,-0.0103740870472758,149.516589408944,0.0748742477076936,0.895462517691745,0.893227200052933,NA
"6",6,"Acanthaluteres vittiger","Unknown","Marine","Australia","Actinopterygii",10,-42.610717,148.030128,11826,9,294.770890150098,-0.147898240597912,98.2883821636259,0.0492179564015862,0.0149796398014777,0.0148364465893971,NA
"7",7,"Acanthaluteres vittiger","Unknown","Marine","Australia","Actinopterygii",10,-42.588225,147.958031,11832,9,74.5521282355328,-0.0374221066748578,110.81033864353,0.0554883323557299,0.517980400887892,0.516995083587629,NA
"8",8,"Acanthaluteres vittiger","Unknown","Marine","Australia","Actinopterygii",10,-43.05053,147.345457,11858,8,-4.16350363680247,0.00199960720544442,138.779978723559,0.0694976159160212,0.976801392529357,0.977751002395972,NA
"9",9,"Acanthemblemaria aspera","Tropical coral","Marine","Virgin Islands, U.S.","Actinopterygii",15,17.75833,-64.60556,5698,7,-222.493352326686,0.112001424501424,74.4532628277814,0.0374261560548019,0.0202732898767117,0.0201521070859453,"LC"
"10",10,"Acanthemblemaria spinosa","Tropical coral","Marine","Virgin Islands, U.S.","Actinopterygii",15,17.75833,-64.60556,5697,7,121.648530112253,-0.0612580549489067,95.6640002185634,0.0480883666480576,0.244124580168184,0.243373993327668,"LC"
"11",11,"Acanthistius sebastoides","Unknown","Marine","South Africa","Actinopterygii",7,-33.982905,23.63378,11721,6,-384.388392857141,0.191964285714285,192.264169443507,0.0960599767470982,0.0925195807944836,0.0926340916524331,NA
"12",12,"Acanthiza reguloides","Temperate broadleaf and mixed forests","Terrestrial","Australia","Aves",11,-32.88333,151.6,8782,10,215.44280556048,-0.107852931382357,70.0556836775684,0.0350015385862487,0.0117341458809549,0.0116133820310033,"LC"
