LPI.common.name,GBIF.common.name,species,downloader,data.available,geographic.range,hab_spec,IUCN,hab_spec_notes
European anchovy,Anchovy / European anchovy,Engraulis encrasicolus,John,yes,NA,6,LC,"This coastal, pelagic species is found mainly in shallow water (to 50 m) and to depths of about 400 m, often forming large shoals and is migratory. It is euryhaline, tolerating salinities of five to 41% and in some areas entering lagoons, estuaries or lakes, especially in the warmer months during spawning season.In the Mediterranean Sea, it occupies nearly all the water column, with the core of the population occurring in less then 50 m depth. In winter months it moves deeper in the water column (to around 200 m). Depth range in Mediterranean Sea is from sea level to 285 m and it is common over the continental shelf. A study of Lloret et al. (2004) provide evidence of the influence of riverine inputs and wind mixing on the productivity of small pelagic fish such as Engraulis encrasicolus in the Mediterranean Sea. It tends to move further north and into surface waters in summer, retreating and descending in winter. It feeds on planktonic organisms (Plounevez and Champalbert 2000)."
Anglerfish,Angler / Anglerfish,Lophius piscatorius,John,yes,NA,3,LC,is¥Ë_a benthic fish with a maximum size of 200 cm (more common 40-60 cm) that occurs from the shoreline to the continental slope. This species occurs in shallow waters north of FAO region 34.¥Ë_
Arctic / Mountain hare,Arctic / Mountain hare,Lepus timidus,Gergana,yes,partWorld,8,LC,"tundra and taiga, particularly pine, birch, and juniper (Flux and Angermann 1990). Moors and bogland are the preferred habitats for this species in Ireland and Scotland (Flux and Angermann 1990). However, L. timidus hibernicus will also utilize cultivated land, rich agricultural area, in Ireland (Thulin 2003). L. timidus occupies lowland woodlands of open steppe in southern Russia along with reed belts around lakes (Flux and Angermann 1990). In Mongolia, it occurs in forests located on the Altai, Hingan, Hentei, Hovsgol, and Hangai mountain ranges (Mallon 1985). "
Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Gergana,yes,World,2,LC,predominately coastal but will migrate over land. It is either colonial at seabird sites or widely scattered accross the tundra where it is territorial
Arctic loon / Black-throated diver,Arctic loon / Black-throated diver,Gavia arctica,Gergana,yes,partWorld,5,LC," breeds on deep, productive, freshwater lakes (del Hoyo et al. 1992) or extensive pools with islets, peninsulas and other inaccessible nesting sites (Snow and Perrins 1998). Non-breeding Outside of the breeding season the species is most common on inshore waters along sheltered coasts (del Hoyo et al. 1992), occasionally also frequenting large inland freshwater bodies (Flint et al. 1984, del Hoyo et al. 1992) such as natural lakes or barrages, lagoons and large rivers (Snow and Perrins 1998). "
Arctic tern,Arctic tern,Sterna paradisaea,Gergana,yes,World,15,LC," The species breeds along northern coastlines (del Hoyo et al. 1996)and on inshore islands (Flint et al. 1984, Snow and Perrins 1998) as well as inland on tundra and forest-tundra (Flint et al. 1984). It shows a preference for habitats with a vegetation cover of less than 40 %, nesting on sand or shingle beaches, ridges (del Hoyo et al. 1996) and spits (Flint et al. 1984), rocky ground (Flint et al. 1984, Richards 1990, del Hoyo et al. 1996) and small islands (Flint et al. 1984, del Hoyo et al. 1996, Snow and Perrins 1998) in lakes and coastal lagoons (del Hoyo et al. 1996). It may also nest on islets or banks along rivers (Snow and Perrins 1998), on swampy tundra (Flint et al. 1984, del Hoyo et al. 1996) and peatlands with bog hummocks (del Hoyo et al. 1996) and reed-covered flats (Flint et al. 1984), or on inland heaths, rough pastures (del Hoyo et al. 1996, Snow and Perrins 1998), meadows (del Hoyo et al. 1996) and sedge grassland (Snow and Perrins 1998) not far from water (Flint et al. 1984). "
Atlantic argentine,Argentine / Atlantic argentine / Great silver smelt,Argentina silus,John,yes,NA,NA,NA,NA
Lesser argentine,Argentine / European argentine / Lesser argentine,Argentina sphyraena,John,yes,NA,NA,NA,NA
Atlantic cod / Cod,Atlantic cod / Cod,Gadus morhua,Gergana,yes,partWorld,1,VU,Mid Atlantic (US) to Northern Europe.
Atlantic halibut,Atlantic halibut / Fletch / Flitch,Hippoglossus hippoglossus,John,yes,NA,NA,EN,NA
