"","species","n"
"1","Abramis brama",2
"2","Abrothrix longipilis",5
"3","Abrothrix olivaceus",3
"4","Acanthemblemaria aspera",8
"5","Acanthiza reguloides",5
"6","Acanthiza uropygialis",6
"7","Acanthopagrus berda",6
"8","Acanthurus achilles",4
"9","Acanthurus bahianus",9
"10","Acanthurus chirurgus",7
"11","Acanthurus coeruleus",8
"12","Acanthurus dussumieri",6
"13","Acanthurus nigrofuscus",8
"14","Accipiter cooperii",7
"15","Accipiter gentilis",4
"16","Accipiter nisus",12
"17","Accipiter striatus",10
"18","Acinonyx jubatus",6
"19","Acipenser fulvescens",2
"20","Acipenser gueldenstaedtii",5
"21","Acipenser medirostris",3
"22","Acipenser nudiventris",2
"23","Acipenser oxyrinchus",7
"24","Acipenser ruthenus",1
"25","Acipenser sinensis",6
"26","Acipenser stellatus",5
"27","Acipenser transmontanus",4
"28","Acridotheres tristis",7
"29","Acris crepitans",9
"30","Acrocephalus arundinaceus",10
"31","Acrocephalus australis",5
"32","Acrocephalus melanopogon",2
"33","Acrocephalus schoenobaenus",7
"34","Acrocephalus scirpaceus",6
"35","Acrocephalus sechellensis",1
"36","Actitis hypoleucos",15
"37","Actitis macularius",10
"38","Aechmophorus occidentalis",1
"39","Aegithalos caudatus",9
"40","Aegolius acadicus",5
"41","Aegolius funereus",3
"42","Aegypius monachus",4
"43","Aepyceros melampus",3
"44","Aerodramus maximus",3
"45","Aeronautes saxatalis",5
"46","Agalychnis callidryas",5
"47","Agelaius phoeniceus",3
"48","Agelaius tricolor",2
"49","Agelaius xanthomus",4
"50","Agonus cataphractus",4
"51","Aimophila ruficeps",3
"52","Aix sponsa",4
"53","Akodon azarae",3
"54","Akodon cursor",1
"55","Alauda arvensis",13
"56","Alca torda",12
"57","Alcedo atthis",14
"58","Alcelaphus buselaphus",9
"59","Alces alces",5
"60","Alectoris chukar",2
"61","Alectoris rufa",5
"62","Alepisaurus ferox",3
"63","Alle alle",12
"64","Alligator sinensis",2
"65","Alopecoenas xanthonurus",4
"66","Alopias vulpinus",3
"67","Alosa aestivalis",6
"68","Alosa pseudoharengus",6
"69","Alosa sapidissima",4
"70","Alouatta palliata",4
"71","Alsophis antiguae",2
"72","Amazona vittata",3
"73","Amazonetta brasiliensis",5
"74","Ambloplites rupestris",3
"75","Amblyraja radiata",2
"76","Amblyrhynchotes honckenii",7
"77","Amblyrhynchus cristatus",4
"78","Ambystoma californiense",9
"79","Ambystoma macrodactylum",10
"80","Ambystoma maculatum",4
"81","Ambystoma opacum",3
"82","Ambystoma talpoideum",4
"83","Ambystoma tigrinum",16
"84","Ameiurus melas",6
"85","Ameiurus nebulosus",5
"86","Amia calva",4
"87","Ammodramus savannarum",5
"88","Ammodytes tobianus",1
"89","Amphispiza bilineata",2
"90","Anas acuta",7
"91","Anas castanea",9
"92","Anas crecca",5
"93","Anas fulvigula",4
"94","Anas gracilis",8
"95","Anas laysanensis",4
"96","Anas platyrhynchos",12
"97","Anas rubripes",14
"98","Anas superciliosa",9
"99","Anas wyvilliana",7
"100","Anastomus oscitans",6
"101","Anaxyrus americanus",13
"102","Anaxyrus boreas",15
"103","Anaxyrus canorus",7
"104","Anaxyrus fowleri",10
"105","Anaxyrus terrestris",12
"106","Anchoa mitchilli",5
"107","Aneides aeneus",2
"108","Aneides hardii",1
"109","Anguilla anguilla",47
"110","Anguilla rostrata",8
"111","Anhinga anhinga",2
"112","Anous minutus",10
"113","Anous stolidus",16
"114","Anser albifrons",7
"115","Anser anser",5
"116","Anser brachyrhynchus",6
"117","Anser caerulescens",8
"118","Anser canagicus",6
"119","Anser erythropus",11
"120","Anser fabalis",5
"121","Anser rossii",6
"122","Anseranas semipalmata",3
"123","Antaresia childreni",11
"124","Anthias anthias",2
"125","Anthochaera carunculata",12
"126","Anthochaera chrysoptera",9
"127","Anthus petrosus",6
"128","Anthus pratensis",10
"129","Anthus richardi",3
"130","Anthus rubescens",13
"131","Anthus spinoletta",8
"132","Anthus spragueii",3
"133","Anthus trivialis",10
"134","Antigone canadensis",2
"135","Antigone vipio",5
"136","Antimora rostrata",2
"137","Antrostomus carolinensis",6
"138","Antrostomus vociferus",2
"139","Apeltes quadracus",8
"140","Aphelocoma californica",5
"141","Aplodinotus grunniens",3
"142","Aplonis opaca",5
"143","Apodemus flavicollis",5
"144","Apodemus sylvaticus",10
"145","Aptenodytes forsteri",10
"146","Aptenodytes patagonicus",10
"147","Apus apus",16
"148","Aquila adalberti",6
"149","Aquila audax",6
"150","Aquila chrysaetos",9
"151","Aquila fasciata",7
"152","Aquila heliaca",7
"153","Archilochus alexandri",7
"154","Archilochus colubris",9
"155","Arctictis binturong",4
"156","Arctocephalus australis",5
"157","Arctocephalus gazella",4
"158","Arctocephalus pusillus",4
"159","Arctocephalus townsendi",6
"160","Arctocephalus tropicalis",4
"161","Arctogalidia trivirgata",3
"162","Ardea alba",5
"163","Ardea cinerea",22
"164","Ardea cocoi",3
"165","Ardea herodias",5
"166","Ardea plumifera",19
"167","Ardea purpurea",4
"168","Ardenna grisea",10
"169","Ardeola bacchus",8
"170","Ardeola ralloides",4
"171","Arenaria interpres",19
"172","Arenaria melanocephala",3
"173","Argusianus argus",2
"174","Arizona elegans",6
"175","Arnoglossus laterna",3
"176","Arothron hispidus",12
"177","Arothron meleagris",5
"178","Arremonops rufivirgatus",5
"179","Arvicola amphibius",9
"180","Asio flammeus",8
"181","Asio otus",15
"182","Ateles geoffroyi",3
"183","Athene cunicularia",8
"184","Atherina boyeri",5
"185","Atrichornis clamosus",5
"186","Auriparus flaviceps",4
"187","Aviceda subcristata",6
"188","Aythya affinis",15
"189","Aythya americana",6
"190","Aythya collaris",2
"191","Aythya ferina",17
"192","Aythya fuligula",14
"193","Aythya marila",12
"194","Aythya valisineria",10
"195","Baeolophus bicolor",6
"196","Baeolophus inornatus",5
"197","Baeolophus ridgwayi",3
"198","Balaena mysticetus",2
"199","Balaenoptera acutorostrata",2
"200","Balaenoptera musculus",2
"201","Balaenoptera physalus",2
"202","Balearica regulorum",13
"203","Bartramia longicauda",3
"204","Bathyraja interrupta",2
"205","Bathyraja spinicauda",3
"206","Beatragus hunteri",4
"207","Bison bison",26
"208","Bison bonasus",9
"209","Blarina brevicauda",3
"210","Bombycilla cedrorum",5
"211","Bombycilla garrulus",5
"212","Bonasa bonasia",2
"213","Bonasa umbellus",2
"214","Boops boops",7
"215","Boopsoidea inornata",3
"216","Botaurus lentiginosus",1
"217","Botaurus stellaris",2
"218","Brachydeuterus auritus",3
"219","Brachyramphus marmoratus",6
"220","Brachyteles arachnoides",1
"221","Brachyteles hypoxanthus",2
