Larus genei
Thalasseus sandvicensis
Larus fuscus
Haliaeetus albicilla
Morus bassanus
Falco peregrinus
Meleagris gallopavo
Euphagus carolinus
Carpodacus mexicanus
Anas acuta
Larus philadelphia
Bonasa bonasia
Circus aeruginosus
Oxyura leucocephala
Anser anser
Larus melanocephalus
Bubulcus ibis
Platalea leucorodia
Phoenicopterus roseus
Ardea alba
Plegadis falcinellus
Grus grus
Phalacrocorax carbo
Accipiter nisus
Dryobates minor
Perdix perdix
Cygnus olor
Podiceps auritus
Baeolophus bicolor
Asio flammeus
Zenaida macroura
Pica pica
Parus hudsonicus
Cardinalis cardinalis
Tringa melanoleuca
Haliaeetus leucocephalus
Sitta carolinensis
Dendroica pinus
Lophodytes cucullatus
Mergus merganser
Strix nebulosa
Cathartes aura
Carpodacus purpureus
Ammodramus henslowii
Antigone canadensis
Lanius ludovicianus
Anas platyrhynchos
Ixobrychus exilis
Sialia mexicana
Cyanocitta cristata
Phalacrocorax auritus
Spizella arborea
Branta canadensis
Ammodramus savannarum
Empidonax flaviventris
Passerella iliaca
Stelgidopteryx serripennis
Vermivora cyanoptera
Mareca strepera
Mergus serrator
Melanerpes carolinus
Spatula clypeata
Vireo philadelphicus
Falcipennis canadensis
Strix varia
Accipiter gentilis
Spizella pallida
Wilsonia canadensis
Myiarchus crinitus
Thryothorus ludovicianus
Spizella pusilla
Hydroprogne caspia
Himantopus himantopus
Coturnicops noveboracensis
Pelecanus erythrorhynchos
Rallus limicola
Vermivora celata
Buteo lineatus
Accipiter striatus
Picoides tridactylus
Falco mexicanus
Cepphus grylle
Tringa semipalmata
Zonotrichia leucophrys
Aegolius acadicus
Loxia curvirostra
Icteria virens
Glaucidium californicum
Histrionicus histrionicus
Gavia pacifica
Butorides striata
Falco columbarius
Empidonax traillii
Pipilo erythrophthalmus
Porzana carolina
Cistothorus palustris
Melospiza melodia
Polioptila caerulea
Dendragapus obscurus
Mimus polyglottos
Certhia americana
Aquila chrysaetos
Pandion haliaetus
Molothrus ater
Vireo flavifrons
Accipiter cooperii
Fulica americana
Sayornis saya
Ammodramus leconteii
Sayornis phoebe
Sialia sialis
Bubo virginianus
Charadrius vociferus
Buteo regalis
Buteo platypterus
Gavia stellata
Larus smithsonianus
Cinclus mexicanus
Anas crecca
Hylatomus pileatus
Podilymbus podiceps
Phasianus colchicus
Picoides arcticus
Icterus spurius
Buteo jamaicensis
Dendroica cerulea
Icterus galbula
Toxostoma rufum
Dendroica palmarum
Sturnella magna
Antrostomus vociferus
Vermivora ruficapilla
Piranga olivacea
Elanoides forficatus
Nycticorax nycticorax
Chondestes grammacus
Aix sponsa
Bucephala albeola
Progne subis
Spatula discors
Ammodramus nelsoni
Toxostoma longirostre
Vireo gilvus
Buteo swainsoni
Zoothera naevia
Larus delawarensis
Spizella breweri
Circus hudsonius
Tringa solitaria
Tyrannus couchii
Spatula cyanoptera
Loxia leucoptera
Archilochus colubris
Bucephala clangula
Pooecetes gramineus
Parula americana
Vermivora chrysoptera
Chordeiles minor
Athene cunicularia
Podiceps grisegena
Mareca americana
Chlidonias niger
Catharus bicknelli
Sterna forsteri
Scolopax minor
Passerina cyanea
Megaceryle alcyon
Recurvirostra americana
Tringa flavipes
Coccyzus erythropthalmus
Coccothraustes vespertinus
Vireo solitarius
Eremophila alpestris
Coccyzus americanus
Calcarius pictus
Mareca penelope
Vireo huttoni
Dumetella carolinensis
Podiceps nigricollis
Aythya collaris
Bonasa umbellus
Melanerpes erythrocephalus
Oporornis agilis
Melanerpes lewis
Leuconotopicus villosus
Dendroica tigrina
Dryobates pubescens
Gallinula chloropus
Cyanocorax yncas
Pinicola enucleator
Gallinula galeata
Ardea herodias
Numenius americanus
Bombycilla garrulus
Bartramia longicauda
Sphyrapicus varius
Archilochus alexandri
Selasphorus calliope
Falco sparverius
Dolichonyx oryzivorus
Passer montanus
Nucifraga columbiana
Icterus bullockii
Parkesia motacilla
Melospiza georgiana
Sphyrapicus thyroideus
Sitta canadensis
Patagioenas fasciata
Aythya valisineria
Pipilo maculatus
Anhinga anhinga
Sturnella neglecta
Gavia immer
Cistothorus platensis
Leuconotopicus albolarvatus
Mniotilta varia
Sialia currucoides
Wilsonia pusilla
Platalea ajaja
Botaurus lentiginosus
Aythya americana
Piranga flava
Tympanuchus phasianellus
Regulus satrapa
Troglodytes aedon
Piranga ludoviciana
Helmitheros vermivorum
Nyctanassa violacea
Anas rubripes
Troglodytes troglodytes
Dendroica caerulescens
Sterna hirundo
Pyrocephalus rubinus
Leuconotopicus borealis
Tyrannus tyrannus
Euphagus cyanocephalus
Bucephala islandica
Contopus cooperi
Vireo vicinior
Chaetura pelagica
Calypte anna
Steganopus tricolor
Myadestes townsendi
Sitta pygmaea
Icterus cucullatus
Parus atricapillus
Callipepla californica
Rallus longirostris
Actitis macularius
Oxyura jamaicensis
