"","species"
"1","Larus genei"
"2","Labeo altivelis"
"3","Synodontis zambezensis"
"4","Halichoerus grypus"
"5","Thalasseus sandvicensis"
"6","Larus fuscus"
"7","Haliaeetus albicilla"
"8","Morus bassanus"
"9","Falco peregrinus"
"10","Meleagris gallopavo"
"11","Euphagus carolinus"
"12","Carpodacus mexicanus"
"13","Anas acuta"
"14","Larus philadelphia"
"15","Enhydra lutris"
"16","Bonasa bonasia"
"17","Circus aeruginosus"
"18","Oxyura leucocephala"
"19","Anser anser"
"20","Larus melanocephalus"
"21","Bubulcus ibis"
"22","Platalea leucorodia"
"23","Phoenicopterus roseus"
"24","Ardea alba"
"25","Plegadis falcinellus"
"26","Grus grus"
"27","Phalacrocorax carbo"
"28","Accipiter nisus"
"29","Dryobates minor"
"30","Perdix perdix"
"31","Cygnus olor"
"32","Neovison vison"
"33","Podiceps auritus"
"34","Baeolophus bicolor"
"35","Asio flammeus"
"36","Zenaida macroura"
"37","Pica pica"
"38","Parus hudsonicus"
"39","Cardinalis cardinalis"
"40","Tringa melanoleuca"
"41","Haliaeetus leucocephalus"
"42","Sitta carolinensis"
"43","Dendroica pinus"
"44","Lophodytes cucullatus"
"45","Mergus merganser"
"46","Strix nebulosa"
"47","Cathartes aura"
"48","Carpodacus purpureus"
"49","Ammodramus henslowii"
"50","Antigone canadensis"
"51","Lanius ludovicianus"
"52","Anas platyrhynchos"
"53","Ixobrychus exilis"
"54","Sialia mexicana"
"55","Cyanocitta cristata"
"56","Phalacrocorax auritus"
"57","Spizella arborea"
"58","Branta canadensis"
"59","Ammodramus savannarum"
"60","Empidonax flaviventris"
"61","Passerella iliaca"
"62","Stelgidopteryx serripennis"
"63","Vermivora cyanoptera"
"64","Mareca strepera"
"65","Mergus serrator"
"66","Melanerpes carolinus"
"67","Spatula clypeata"
"68","Vireo philadelphicus"
"69","Falcipennis canadensis"
"70","Strix varia"
"71","Accipiter gentilis"
"72","Spizella pallida"
"73","Wilsonia canadensis"
"74","Myiarchus crinitus"
"75","Thryothorus ludovicianus"
"76","Spizella pusilla"
"77","Hydroprogne caspia"
"78","Himantopus himantopus"
"79","Coturnicops noveboracensis"
"80","Cyclopterus lumpus"
"81","Pelecanus erythrorhynchos"
"82","Rallus limicola"
"83","Vermivora celata"
"84","Buteo lineatus"
"85","Accipiter striatus"
"86","Picoides tridactylus"
"87","Falco mexicanus"
"88","Cepphus grylle"
"89","Tringa semipalmata"
"90","Zonotrichia leucophrys"
"91","Aegolius acadicus"
"92","Loxia curvirostra"
"93","Icteria virens"
"94","Glaucidium californicum"
"95","Histrionicus histrionicus"
"96","Gavia pacifica"
"97","Butorides striata"
"98","Falco columbarius"
"99","Empidonax traillii"
"100","Pipilo erythrophthalmus"
"101","Porzana carolina"
"102","Cistothorus palustris"
"103","Melospiza melodia"
"104","Polioptila caerulea"
"105","Dendragapus obscurus"
"106","Mimus polyglottos"
"107","Certhia americana"
"108","Aquila chrysaetos"
"109","Pandion haliaetus"
"110","Molothrus ater"
"111","Vireo flavifrons"
"112","Accipiter cooperii"
"113","Fulica americana"
"114","Sayornis saya"
"115","Ammodramus leconteii"
"116","Sayornis phoebe"
"117","Sialia sialis"
"118","Bubo virginianus"
"119","Charadrius vociferus"
"120","Anarhichas lupus"
"121","Buteo regalis"
"122","Buteo platypterus"
"123","Gavia stellata"
"124","Larus smithsonianus"
"125","Cinclus mexicanus"
"126","Anas crecca"
"127","Hylatomus pileatus"
"128","Podilymbus podiceps"
"129","Phasianus colchicus"
"130","Picoides arcticus"
"131","Icterus spurius"
"132","Buteo jamaicensis"
"133","Dendroica cerulea"
"134","Icterus galbula"
"135","Toxostoma rufum"
"136","Dendroica palmarum"
"137","Sturnella magna"
