"","model","metric","mean"
"1","1","mean.phylo",0.000920929423182056
"2","10","mean.phylo",0.000214528705310218
"3","100","mean.phylo",0.00155764108735784
"4","1000","mean.phylo",0.00169680787094102
"5","10000","mean.phylo",0.000860256948635822
"6","1001","mean.phylo",0.00115176938235176
"7","1002","mean.phylo",0.00136474542107423
"8","1003","mean.phylo",0.001196815414068
"9","1004","mean.phylo",0.000758293529742993
"10","1005","mean.phylo",0.00120444911693432
"11","1006","mean.phylo",0.00122966868573765
"12","1007","mean.phylo",0.00202457752177209
"13","1008","mean.phylo",0.000846179772809095
"14","1009","mean.phylo",0.00208679730962883
"15","101","mean.phylo",0.000899555603917624
"16","1010","mean.phylo",0.00113071523479828
"17","1011","mean.phylo",0.00177061657650535
"18","1012","mean.phylo",0.00120568772258954
"19","1013","mean.phylo",0.000725336765111741
"20","1014","mean.phylo",0.000563755876915621
"21","1015","mean.phylo",0.00106866770938931
"22","1016","mean.phylo",0.00129550603433344
"23","1017","mean.phylo",0.00185697318776031
"24","1018","mean.phylo",0.000775745074779422
"25","1019","mean.phylo",0.000595616449100576
"26","102","mean.phylo",0.000844590598027123
"27","1020","mean.phylo",0.00152162775768734
"28","1021","mean.phylo",0.00110647564134706
"29","1022","mean.phylo",0.000917187654354579
"30","1023","mean.phylo",0.000432189844734572
"31","1024","mean.phylo",0.00152360695077783
"32","1025","mean.phylo",0.000594493820750857
"33","1026","mean.phylo",0.00103238589603146
"34","1027","mean.phylo",0.00229597192339294
"35","1028","mean.phylo",0.000368424505170592
"36","1029","mean.phylo",0.00190108166108884
"37","103","mean.phylo",0.000842446219896959
"38","1030","mean.phylo",0.00100903253662963
"39","1031","mean.phylo",0.00174886005451905
"40","1032","mean.phylo",0.000821021749117619
"41","1033","mean.phylo",0.00211651627916004
"42","1034","mean.phylo",0.00058836461874768
"43","1035","mean.phylo",0.000963896382741588
"44","1036","mean.phylo",0.00180412840082977
"45","1037","mean.phylo",0.000961285551078268
"46","1038","mean.phylo",0.00203188048862533
"47","1039","mean.phylo",0.00121568776205604
"48","104","mean.phylo",0.000898214071470767
"49","1040","mean.phylo",0.00294416316868284
"50","1041","mean.phylo",0.000831266149600522
"51","1042","mean.phylo",0.00176981390705335
"52","1043","mean.phylo",0.00246972865316856
"53","1044","mean.phylo",0.00115285040120523
"54","1045","mean.phylo",0.000651317096541527
"55","1046","mean.phylo",0.000728990095425094
"56","1047","mean.phylo",0.001791279907491
"57","1048","mean.phylo",0.000902484809632108
"58","1049","mean.phylo",0.00104239510329222
"59","105","mean.phylo",0.000950282366552568
"60","1050","mean.phylo",0.00168715103732446
"61","1051","mean.phylo",0.000950780482668289
"62","1052","mean.phylo",0.000607397444800698
"63","1053","mean.phylo",0.00173924489045005
"64","1054","mean.phylo",0.000393400323586723
"65","1055","mean.phylo",0.00202169500347466
"66","1056","mean.phylo",0.00121398729152322
"67","1057","mean.phylo",0.00346806078729757
"68","1058","mean.phylo",0.000910099013298465
"69","1059","mean.phylo",0.00121874060519928
"70","106","mean.phylo",0.000933652986092305
"71","1060","mean.phylo",0.00162081115845139
"72","1061","mean.phylo",0.00098423858939185
"73","1062","mean.phylo",0.00145889658812071
"74","1063","mean.phylo",0.000691024840573756
"75","1064","mean.phylo",0.0010535439329227
"76","1065","mean.phylo",0.00113231566187061
