"","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Decimal.Latitude","Decimal.Longitude","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","mu","lCI","uCI","sigma^2","tau^2","x0","Start","End"
"1",4,"Komdeur, J. (1996). Breeding of the Seychelles Magpie Robin Copsychus sechellarum and implications for its conservation. Ibis 138(3): 485-498.","Aves","Passeriformes","Muscicapidae","Copsychus","sechellarum",NA,"Newton, 1865","Seychelles magpie robin","Fregate Island, Seychelles","Seychelles","Africa",-4.58333,55.93333,TRUE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Afrotropical","Yes","No","No","Number of individuals","Direct counts of colour-ringed birds","No",-0.0436507926586405,-0.146769573258847,0.0594679879415656,5.81328836962288e-09,0.116255241868947,0.662777767012916,1,8
"2",5,"Groombridge, J. J., Bruford, M.W., Jones, C.G, Nichols, R.A. (2001). Evaluating the severity of the population bottleneck mauritius kestrel Falco punctatus from ringing records using MCMC estimation. Journal of Animal Ecology 70: 401-409.","Aves","Falconiformes","Falconidae","Falco","punctatus",NA,"Temminck, 1821","Mauritius kestrel","Western Population, Mauritius","Mauritius","Africa",-20.3,57.58333,FALSE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Afrotropical","Yes","No","No","Number of breeding pairs","Transect surveys","No",0.0555555555555555,0.0230965618444863,0.0880145492666247,0.00493662872481106,3.53304864231208e-24,-0.0288888888888857,1,19
"3",25," Snyder, N., P. McGowan, et al. (2000). Parrots.  Status Survey and Coservation Action Plan 2000-2004. IUCN. Gland, Switzerland and Cambridge, UK.","Aves","Psittaciformes","Psittacidae","Psittacula","eques",NA,"(Newton & Newton, 1876)","Mauritius parakeet","Black River Gorges National Park (World Pop)","Mauritius","Africa",-20.40444,57.42667,TRUE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Afrotropical","Yes","No","No","Number of individuals","Unspecified","No",0.080555555719949,0.00206078305315775,0.15905032838674,0.019246447272461,2.97139880248876e-10,-0.0594444458525063,1,13
"4",28," Kelly, M. J., M. K. Laurenson, et al. (1998). Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years. Journal of Zoology 244: 473-488.","Mammalia","Carnivora","Felidae","Acinonyx","jubatus",NA,"Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Africa",-2.33333,34.58333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of females","Observation","No",0.0139347580952003,-0.076018227872054,0.103887744062455,0.0377327626392847,0.00168635466827561,0.202373843791022,1,19
"5",42," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Carnivora","Canidae","Canis","simensis",NA,"RÌ_ppell, 1835","Ethiopian wolf","Sanetti Plateau, Bale Mountains National Park","Ethiopia","Africa",7,39.75,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","mean encounter rate/km","road counts","No",0.0749993796591306,-0.441792329455693,0.591791088773954,0.34760670775149,1.57783058007861e-06,0.426668974018776,1,6
"6",57," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus",NA,"Burchell, 1824","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Wet season","Estimate of entire population","No",0.00321745231793547,-0.166441734497811,0.172876639133682,0.0611079808009992,0.0366942042583324,0.344423761637408,1,10
"7",58," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus",NA,"Burchell, 1824","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Dry season","Estimate of entire population","No",-0.141904761521184,-0.342975585272816,0.0591660622304493,0.0736688700455049,1.80604059349397e-09,0.75190475029068,1,8
"8",111," Whyte, I. (2004). Ecosystem resources influencing elephant populations:History of the KNP elephant population. Elephant effects on biodiversity: An assessment of curretn knowledge and understanding as a basis for elephant management in SANparks.","Mammalia","Proboscidea","Elephantidae","Loxodonta","africana",NA,"Blumenbach, 1797","African elephant","Kruger National Park","South Africa","Africa",-23.83333,31.5,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Individuals","Helicopter count","No",0.03080547112462,-0.0127429139469482,0.0743538561961882,0.0138226081803322,6.6458037211321e-20,0.0217477203647344,1,29
"9",117," Burrows, R. (1995). Demographic changes and social consequences in wild dogs, 1964 -1992. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 400-420.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Carnivora","Canidae","Lycaon","pictus",NA,"(Temminck, 1820)","African wild dog","Serengeti National Park & Ngorongoro Conservation Area, Tanzania","Tanzania, United Republic Of","Africa",-3.16667,35.58333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals","Count of yearlings and adults","No",-0.0545905492545037,-0.246308138655569,0.137127040146562,0.124381305606452,3.29891239771295e-08,0.61297766906317,1,14
"10",128," Hanby, J. P., J. D. Boycott, et al. (1995). Ecology, demograpghy and behaviour of lions in two contrasting habitats: Ngorongoro Crater and the Serengeti Plains. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 315 - 331.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Carnivora","Felidae","Panthera","leo",NA,"Linnaeus, 1758","African lion / Asiatic lion","Serengeti Plains, Tanzania","Tanzania, United Republic Of","Africa",-3.16667,35.58333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals","Count of resident females over 4 years old","No",-6.35650335737051e-09,-0.232449380623086,0.232449367910079,0.140651577452406,2.08612286606867e-08,0.724285741830566,1,11
"11",130," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Suidae","Phacochoerus","africanus",NA,"Gmelin, 1788","Common warthog / Desert warthog","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.135960588676092,-0.307323856023194,0.0354026786710095,1.09734553039912e-08,0.133770774794873,0.798177319615787,1,6
"12",138," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Redunca","redunca",NA,"Pallas, 1767","Bohar reedbuck / Bohor reedbuck","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.0436266989427834,-0.28021855855415,0.192965160668583,0.0223987576953568,0.172396300818868,0.295967493009965,1,6
"13",139," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Sylvicapra","grimmia",NA,"Linnaeus, 1758","Common duiker / Grey duiker","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.199999999680363,-0.359247505521355,-0.0407524938393702,0.0330067784950425,2.058576118737e-10,0.803750001512431,1,6
"14",146," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Syncerus","caffer",NA,"Sparrman, 1779","African buffalo / Cape buffalo","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Dry season","Estimate of entire population","No",0.0392157162646199,-0.419689603573776,0.498121036103016,0.328915969685825,7.54617057801365e-07,0.186471847819207,1,7
"15",147," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Syncerus","caffer",NA,"Sparrman, 1779","African buffalo / Cape buffalo","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Wet season","Estimate of entire population","No",0.0901344334662948,-0.0217412974452831,0.202010164377873,0.0277365388501506,0.00839437038211484,0.106791337244232,1,10
"16",163," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni",NA,"Lydekker, 1910","Mountain nayala","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.200000000868879,-0.409760106807784,0.00976010507002539,0.0572668962687632,9.83588922343908e-10,1.12176470058825,1,6
"17",165," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni",NA,"Lydekker, 1910","Mountain nayala","Sanetti Plateau, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.75,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.19999999977493,-0.592003505054576,0.192003505504715,0.200003576681907,3.75122834116669e-10,0.210000000150047,1,6
"18",169," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","scriptus",NA,"Pallas, 1766","Bushbuck","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.0410256416555025,-0.443234995589763,0.361183712278759,0.210553368596191,7.56163554118008e-10,1.0510256407899,1,6
"19",190," Drechsler, M. (1998). Spatial conservation management of the orange-bellied parrot Neophema chrysogaster. Biological Conservation 84(3): 283-292.","Aves","Psittaciformes","Psittacidae","Neophema","chrysogaster",NA,"(Latham, 1790)","Orange-bellied parrot","South Australia","Australia","Oceania",-37,144,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Australasia","Yes","No","No","Individuals","Unknown","No",-0.0685406374214503,-0.109117684527243,-0.027963590315658,8.01984262920709e-08,0.0471446491046166,0.771363261550605,1,11
