"","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Decimal.Latitude","Decimal.Longitude","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","mu","lCI","uCI","sigma^2","tau^2","x0","Start","End"
"1",4,"Komdeur, J. (1996). Breeding of the Seychelles Magpie Robin Copsychus sechellarum and implications for its conservation. Ibis 138(3): 485-498.","Aves","Passeriformes","Muscicapidae","Copsychus","sechellarum",NA,"Newton, 1865","Seychelles magpie robin","Fregate Island, Seychelles","Seychelles","Africa",-4.58333,55.93333,TRUE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Afrotropical","Yes","No","No","Number of individuals","Direct counts of colour-ringed birds","No",-0.142857142857143,-0.298590988187323,0.0128767024730378,0.0441928399805474,7.81632519612975e-16,0.872857142857143,1,8
"2",5,"Groombridge, J. J., Bruford, M.W., Jones, C.G, Nichols, R.A. (2001). Evaluating the severity of the population bottleneck mauritius kestrel Falco punctatus from ringing records using MCMC estimation. Journal of Animal Ecology 70: 401-409.","Aves","Falconiformes","Falconidae","Falco","punctatus",NA,"Temminck, 1821","Mauritius kestrel","Western Population, Mauritius","Mauritius","Africa",-20.3,57.58333,FALSE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Afrotropical","Yes","No","No","Number of breeding pairs","Transect surveys","No",0.0555436896108993,0.0102513526483178,0.100836026573481,0.00938501616803947,0.00241746546994653,-0.00127918374262497,1,19
"3",25," Snyder, N., P. McGowan, et al. (2000). Parrots.  Status Survey and Coservation Action Plan 2000-2004. IUCN. Gland, Switzerland and Cambridge, UK.","Aves","Psittaciformes","Psittacidae","Psittacula","eques",NA,"(Newton & Newton, 1876)","Mauritius parakeet","Black River Gorges National Park (World Pop)","Mauritius","Africa",-20.40444,57.42667,TRUE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Afrotropical","Yes","No","No","Number of individuals","Unspecified","No",-0.0646258509963486,-0.163071320162849,0.0338196181701518,0.0302733559874709,6.73907596394481e-10,1.07462584789196,1,13
"4",28," Kelly, M. J., M. K. Laurenson, et al. (1998). Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years. Journal of Zoology 244: 473-488.","Mammalia","Carnivora","Felidae","Acinonyx","jubatus",NA,"Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Africa",-2.33333,34.58333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of females","Observation","No",0.0555555555555556,0.000341320026838052,0.110769791084273,0.0142844159960361,1.70973275417927e-24,-0.028606403013182,1,19
"5",42," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Carnivora","Canidae","Canis","simensis",NA,"RÌ_ppell, 1835","Ethiopian wolf","Sanetti Plateau, Bale Mountains National Park","Ethiopia","Africa",7,39.75,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","mean encounter rate/km","road counts","No",-0.199997227700946,-0.539248781516058,0.139254326114166,0.149795154269611,3.26638208511952e-06,1.00998567128577,1,6
"6",57," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus",NA,"Burchell, 1824","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Wet season","Estimate of entire population","No",0.0568783065330667,-0.208820580504005,0.322577193570138,0.165390224569173,5.26784647065369e-10,0.74478835928887,1,10
"7",58," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus",NA,"Burchell, 1824","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Dry season","Estimate of entire population","No",-0.104761900422144,-0.383178738504313,0.173654937660025,0.141246235291222,1.1478637879614e-08,0.76476190487247,1,8
"8",111," Whyte, I. (2004). Ecosystem resources influencing elephant populations:History of the KNP elephant population. Elephant effects on biodiversity: An assessment of curretn knowledge and understanding as a basis for elephant management in SANparks.","Mammalia","Proboscidea","Elephantidae","Loxodonta","africana",NA,"Blumenbach, 1797","African elephant","Kruger National Park","South Africa","Africa",-23.83333,31.5,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Individuals","Helicopter count","No",0.0102627746411509,-0.0570039310900341,0.0775294803723358,0.0325007386424896,0.0079509190423146,0.670436485518918,1,29
"9",117," Burrows, R. (1995). Demographic changes and social consequences in wild dogs, 1964 -1992. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 400-420.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Carnivora","Canidae","Lycaon","pictus",NA,"(Temminck, 1820)","African wild dog","Serengeti National Park & Ngorongoro Conservation Area, Tanzania","Tanzania, United Republic Of","Africa",-3.16667,35.58333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals","Count of yearlings and adults","No",-0.0535513785226208,-0.146978632781004,0.0398758757357623,0.0281860425751666,0.0108785076785463,0.897702405839375,1,14
"10",128," Hanby, J. P., J. D. Boycott, et al. (1995). Ecology, demograpghy and behaviour of lions in two contrasting habitats: Ngorongoro Crater and the Serengeti Plains. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 315 - 331.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Carnivora","Felidae","Panthera","leo",NA,"Linnaeus, 1758","African lion / Asiatic lion","Serengeti Plains, Tanzania","Tanzania, United Republic Of","Africa",-3.16667,35.58333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals","Count of resident females over 4 years old","No",0.0947368414630648,-0.00467615761748563,0.194149840543615,0.0257261148628132,1.30793409870777e-09,0.283684203676199,1,11
