"","Model name","Variable","Posterior mean","Lower 95% CI","Upper 95% CI","Effective sample size","pMCMC","Effect"
"latitude.m.1","Latitude - mu","(Intercept)",0.00263852243575245,0.000243081112785148,0.00518744434521068,18000,0.0373333333333334,"fixed"
"latitude.m.2","Latitude - mu","Decimal.Latitude",1.08751890584385e-05,-4.14845708291978e-05,6.07279580435716e-05,18000,0.687,"fixed"
"latitude.m.3","Latitude - mu","units",0.00288491352151929,0.00278935736284604,0.00297763591584014,15773.8573976976,NA,"residual"
"system.m.1","Realm - mu","systemFreshwater",0.00256569135550035,-0.000903794039913919,0.00610237414366566,18000.0000000001,0.146222222222222,"fixed"
"system.m.2","Realm - mu","systemMarine",0.00370668149331513,0.000307318063278217,0.00693073529691901,18596.8539579481,0.0285555555555554,"fixed"
"system.m.3","Realm - mu","systemTerrestrial",0.00281937753464246,0.000232945283642039,0.00543229397953837,18000,0.0346666666666666,"fixed"
"system.m.4","Realm - mu","units",0.00288366968483677,0.00279243724145086,0.0029811953625333,16323.6707501729,NA,"residual"
"system.m.var.1","Realm - weighted","systemFreshwater",0.00360161623334725,-0.00140897950768704,0.0085492394209723,18000,0.155666666666667,"fixed"
"system.m.var.2","Realm - weighted","systemMarine",0.00329714562426425,-0.00154436648881529,0.00790107714419719,17999.9999999999,0.167888888888889,"fixed"
"system.m.var.3","Realm - weighted","systemTerrestrial",0.0033751415240617,1.13627902464941e-05,0.00688125644228421,18000.0000000001,0.0525555555555555,"fixed"
"system.m.var.4","Realm - weighted","units",0.00295812562836296,0.00281105533581603,0.00309087112238846,13851.3840925715,NA,"residual"
"system.m2.1","Realm - slope","systemFreshwater",0.0055582668897325,-0.000237452150031459,0.0116733193790424,17999.9999999998,0.0673333333333332,"fixed"
"system.m2.2","Realm - slope","systemMarine",0.00322997180731467,-0.00247841217787936,0.00882938747599837,18000,0.262666666666667,"fixed"
"system.m2.3","Realm - slope","systemTerrestrial",0.00358203072301701,-0.00089221223606728,0.00801560068066465,18000,0.114,"fixed"
"system.m2.4","Realm - slope","units",0.00807237979504464,0.00781240780832128,0.00834474122226226,15949.9556213906,NA,"residual"
"system.m.sigma.1","Realm - fluctuations sigma","systemTerrestrial",0.0222856996751222,0.0204760818414798,0.0241086544119753,16584.4661179784,5.55555555555556e-05,"fixed"
"system.m.sigma.2","Realm - fluctuations sigma","systemMarine",0.0279356619932712,0.0255980340298265,0.0303343464183854,21131.0684853972,5.55555555555556e-05,"fixed"
"system.m.sigma.3","Realm - fluctuations sigma","systemFreshwater",0.0277108786868353,0.025161530043988,0.0301403766279691,17579.4083691911,5.55555555555556e-05,"fixed"
"system.m.sigma.4","Realm - fluctuations sigma","units",0.0016221707556426,0.00156887645425813,0.00167753215149041,15086.3999432824,NA,"residual"
"system.m.ci.1","Realm - fluctuations CI","systemFreshwater",0.143901409120116,0.135860424448765,0.152291791440803,18000,5.55555555555556e-05,"fixed"
"system.m.ci.2","Realm - fluctuations CI","systemMarine",0.147541798277405,0.139850445615593,0.15522786994552,18000,5.55555555555556e-05,"fixed"
"system.m.ci.3","Realm - fluctuations CI","systemTerrestrial",0.117565967205635,0.111176371079637,0.12361541215796,18000,5.55555555555556e-05,"fixed"
"system.m.ci.4","Realm - fluctuations CI","units",0.0115582222844703,0.0111932567278128,0.0119450911007034,17554.898794263,NA,"residual"
"system.m.ci.var.1","Realm - fluctuations CI weighted","systemTerrestrial",0.130419562127615,0.122380821296247,0.138397348768194,18000,5.55555555555556e-05,"fixed"
"system.m.ci.var.2","Realm - fluctuations CI weighted","systemMarine",0.169363326777559,0.159296792955502,0.179748011025367,18000,5.55555555555556e-05,"fixed"
"system.m.ci.var.3","Realm - fluctuations CI weighted","systemFreshwater",0.169765934472295,0.15899283120234,0.180949362173124,16896.4781965289,5.55555555555556e-05,"fixed"
"system.m.ci.var.4","Realm - fluctuations CI weighted","units",0.0109365778974113,0.0104651861923018,0.0113969215545593,17999.9999999999,NA,"residual"
"system.m.se.1","Realm - fluctuations SE","systemFreshwater",0.134596006669152,0.125898375132238,0.143446169007802,18000,5.55555555555556e-05,"fixed"
"system.m.se.2","Realm - fluctuations SE","systemMarine",0.139105259285432,0.130936133406067,0.147510779701406,18000.0000000001,5.55555555555556e-05,"fixed"
"system.m.se.3","Realm - fluctuations SE","systemTerrestrial",0.108991253994138,0.101959218663978,0.115443285845686,18439.5626438192,5.55555555555556e-05,"fixed"
"system.m.se.4","Realm - fluctuations SE","units",0.0115054740983168,0.0111369239046898,0.0118838096083002,18000.0000000001,NA,"residual"
"system.m.sd.1","Realm - fluctuations SD","systemFreshwater",0.563253446381396,0.557179237832315,0.569404568217578,17999.9999999999,5.55555555555556e-05,"fixed"
"system.m.sd.2","Realm - fluctuations SD","systemMarine",0.567724008653784,0.561984545056475,0.573411014687736,18000.0000000001,5.55555555555556e-05,"fixed"
"system.m.sd.3","Realm - fluctuations SD","systemTerrestrial",0.54707728225963,0.542485477024456,0.551696528804314,18000,5.55555555555556e-05,"fixed"
"system.m.sd.4","Realm - fluctuations SD","units",0.00776124576786959,0.00751263383141417,0.00800439326802416,16850.157005972,NA,"residual"
"biome.m.1","Biome - mu","biomeBoreal forests/taiga",0.00242132761075926,-0.00159147668455262,0.006269660894759,18663.7583699196,0.234888888888889,"fixed"
"biome.m.2","Biome - mu","biomeDeserts and xeric shrublands",-0.00565704675401066,-0.0225682004456758,0.0117551220173482,18000,0.526222222222222,"fixed"
"biome.m.3","Biome - mu","biomeTrop. and subtrop. grasslands savannas and shrublands",-0.00949374093235088,-0.0193438875139691,0.000372561833501095,18000,0.0607777777777778,"fixed"
"biome.m.4","Biome - mu","biomeLarge lakes",0.00346134200648476,-0.0047747823955433,0.011705913420883,18000,0.405222222222222,"fixed"
"biome.m.5","Biome - mu","biomeMediterranean forests woodlands and scrub",0.00549831411860842,-0.00262288727390114,0.0136356767470716,18000,0.187888888888889,"fixed"
"biome.m.6","Biome - mu","biomeMontane freshwaters",0.0113799155316339,-0.0276129395206226,0.0511278325284366,18000,0.574444444444445,"fixed"
"biome.m.7","Biome - mu","biomeMontane grasslands and shrublands",0.0303571537032489,0.0104417899565306,0.0504916211939417,18000,0.00333333333333341,"fixed"
"biome.m.8","Biome - mu","biomePolar freshwaters",0.00433293873281928,-0.00347121929917193,0.0115457608480938,18000.0000000001,0.258444444444444,"fixed"
"biome.m.9","Biome - mu","biomePolar seas",-0.0106742597342854,-0.0351948084571632,0.0139052863232791,18000,0.396888888888889,"fixed"
"biome.m.10","Biome - mu","biomeTemperate forests",0.00173848115750662,-0.00154108311835444,0.00529600912705064,17999.9999999999,0.318,"fixed"
"biome.m.11","Biome - mu","biomeTemperate wetlands and rivers",0.00247746296703539,-0.00150954324635677,0.00651865940744756,18000,0.225777777777778,"fixed"
"biome.m.12","Biome - mu","biomeTemperate grasslands savannas and shrublands",-0.00390037182405351,-0.0105171320901718,0.00261845164641272,18000,0.247444444444444,"fixed"
"biome.m.13","Biome - mu","biomeTropical wetlands and rivers",0.00170649855159405,-0.0074106763349846,0.0112445468766964,18000,0.725,"fixed"
"biome.m.14","Biome - mu","biomeTropical and subtropical forests",0.017738283492995,0.00919586920645088,0.0267615068369196,18000,0.000111111111111173,"fixed"
"biome.m.15","Biome - mu","biomeTropical coral",0.0243780790011145,0.0122271119907964,0.0368807703489438,18000.0000000001,0.000111111111111173,"fixed"
"biome.m.16","Biome - mu","biomeTundra",0.00672254165848176,-0.00166402735339943,0.0147639113565674,19239.4807205995,0.111222222222222,"fixed"
"biome.m.17","Biome - mu","biomeXeric freshwaters and endorheic basins",-0.00170677629639244,-0.0170782112563757,0.0132668592268601,18000,0.830666666666667,"fixed"
"biome.m.18","Biome - mu","units",0.00266250582486427,0.00255969738404015,0.0027631116096357,15790.3724776867,NA,"residual"
"biome.m.var.1","Biome - slope","biomeBoreal forests/taiga",0.00170255100581758,-0.00365715334191918,0.00692845968296751,18000,0.523333333333333,"fixed"
"biome.m.var.2","Biome - slope","biomeDeserts and xeric shrublands",-0.0265947800486643,-0.0502360937061894,-0.00245627801632509,18000,0.0313333333333333,"fixed"
"biome.m.var.3","Biome - slope","biomeTrop. and subtrop. grasslands savannas and shrublands",-0.0166918949043847,-0.0302916093496606,-0.0037379463101388,18000.0000000001,0.014,"fixed"
"biome.m.var.4","Biome - slope","biomeLarge lakes",0.00171839058975482,-0.0103178018980543,0.014983364395448,18781.4449211223,0.792222222222222,"fixed"
"biome.m.var.5","Biome - slope","biomeMediterranean forests woodlands and scrub",0.0102498571113991,-0.00195468659512699,0.0230389262142126,17609.8926451841,0.108888888888889,"fixed"
"biome.m.var.6","Biome - slope","biomeMontane freshwaters",0.0209603843456287,-0.0339345168031286,0.0743587539764121,18000,0.445,"fixed"
"biome.m.var.7","Biome - slope","biomeMontane grasslands and shrublands",0.0207561142251346,-0.00510687943096855,0.0462087900959887,17223.9381199046,0.114777777777778,"fixed"
"biome.m.var.8","Biome - slope","biomePolar freshwaters",0.0025458537119588,-0.00911844178335741,0.0142626477463637,18000,0.660111111111111,"fixed"
"biome.m.var.9","Biome - slope","biomePolar seas",-0.0155616617452387,-0.0461382085923105,0.0149710915284231,17196.0330459786,0.319777777777778,"fixed"
"biome.m.var.10","Biome - slope","biomeTemperate forests",0.00326216169992678,-0.00131243134455872,0.00778736865959218,17408.2621865102,0.164666666666667,"fixed"
"biome.m.var.11","Biome - slope","biomeTemperate wetlands and rivers",0.00438853140247019,-0.00118834014574531,0.00991088549926644,18000,0.123,"fixed"
"biome.m.var.12","Biome - slope","biomeTemperate grasslands savannas and shrublands",-0.00125402520253594,-0.0102884422813077,0.0074835224513663,18000,0.779888888888889,"fixed"
"biome.m.var.13","Biome - slope","biomeTropical wetlands and rivers",0.00263932571965232,-0.0112658875987108,0.0164551307680085,18000,0.712777777777778,"fixed"
"biome.m.var.14","Biome - slope","biomeTropical and subtropical forests",0.0251773515621825,0.0120698409118631,0.0375792345639638,17559.7897317098,0.000222222222222124,"fixed"
