"","model","metric","mean"
"1","1","mean.phylo",0.00123152866900828
"2","10","mean.phylo",0.00168124307699452
"3","100","mean.phylo",0.00656349435349397
"4","1000","mean.phylo",0.00386190709108368
"5","10000","mean.phylo",0.00280785049436932
"6","1001","mean.phylo",0.00583458195351941
"7","1002","mean.phylo",0.00304958571592364
"8","1003","mean.phylo",0.00444973012653507
"9","1004","mean.phylo",0.00291045002753494
"10","1005","mean.phylo",0.00204908654037941
"11","1006","mean.phylo",0.00213462001454371
"12","1007","mean.phylo",0.00256679952070824
"13","1008","mean.phylo",0.00175560167137991
"14","1009","mean.phylo",0.00157435807686618
"15","101","mean.phylo",0.00483449439929124
"16","1010","mean.phylo",0.00510978133102507
"17","1011","mean.phylo",0.00229943600623959
"18","1012","mean.phylo",0.00393349717362882
"19","1013","mean.phylo",0.00413214941478919
"20","1014","mean.phylo",0.00191311229223853
"21","1015","mean.phylo",0.00375926290551837
"22","1016","mean.phylo",0.00191522680604621
"23","1017","mean.phylo",0.00195848240356088
"24","1018","mean.phylo",0.00446543889366723
"25","1019","mean.phylo",0.00300711689046342
"26","102","mean.phylo",0.00629732829762413
"27","1020","mean.phylo",0.00472541598539635
"28","1021","mean.phylo",0.00386682788908916
"29","1022","mean.phylo",0.00383984489395314
"30","1023","mean.phylo",0.00237468787265063
"31","1024","mean.phylo",0.0025888071112363
"32","1025","mean.phylo",0.00234387033441842
"33","1026","mean.phylo",0.00198102058611574
"34","1027","mean.phylo",0.00288245856864875
"35","1028","mean.phylo",0.00323949760044443
"36","1029","mean.phylo",0.0038600611416298
"37","103","mean.phylo",0.00710616680268764
"38","1030","mean.phylo",0.006158342354859
"39","1031","mean.phylo",0.00386847245459065
"40","1032","mean.phylo",0.00589400299129597
"41","1033","mean.phylo",0.00602916459259688
"42","1034","mean.phylo",0.00666511177097578
"43","1035","mean.phylo",0.0040343256780623
"44","1036","mean.phylo",0.0028049558861739
"45","1037","mean.phylo",0.00460702531887069
"46","1038","mean.phylo",0.00833127918024802
"47","1039","mean.phylo",0.0086715498934756
"48","104","mean.phylo",0.00301461068152603
"49","1040","mean.phylo",0.00731321732963364
"50","1041","mean.phylo",0.00329325639563775
"51","1042","mean.phylo",0.00323618868352194
"52","1043","mean.phylo",0.000923322714173296
"53","1044","mean.phylo",0.00232012050913966
