"","Model name","Variable","Posterior mean","Lower 95% CI","Upper 95% CI","Effective sample size","pMCMC","Effect"
"UK.system.1","Realm - mu","systemTerrestrial",0.0108007112524487,-0.00261341388977598,0.0234148982272018,17999.9999999999,0.105222222222222,"fixed"
"UK.system.2","Realm - mu","systemMarine",0.00693975300548274,-0.00576876440027263,0.0199061768216779,18000,0.296888888888889,"fixed"
"UK.system.3","Realm - mu","systemFreshwater",0.0303170935300717,0.0103586193290539,0.0490857064651209,17097.8174591696,0.00244444444444447,"fixed"
"UK.system.4","Realm - mu","units",0.0034963851044191,0.00288252439147705,0.0040950062197086,13564.8487722586,NA,"residual"
"UK.system.var.1","Realm - weighted","systemTerrestrial",0.0153894381805954,0.000418501760577783,0.0298109409486642,18000,0.0382222222222222,"fixed"
"UK.system.var.2","Realm - weighted","systemMarine",0.00849714291308887,-0.00767690241627861,0.0243079125648364,17999.9999999999,0.302555555555555,"fixed"
"UK.system.var.3","Realm - weighted","systemFreshwater",0.0267006236209255,0.00453176561859436,0.050080723616702,18000.0000000001,0.020888888888889,"fixed"
"UK.system.var.4","Realm - weighted","units",0.00290970376463398,0.00227123191943543,0.00362110946997659,10568.1694779641,NA,"residual"
"UK.system2.1","Realm - slope","systemFreshwater",0.0618867420984376,0.0250099897348264,0.0975455233856337,18000,0.000333333333333297,"fixed"
"UK.system2.2","Realm - slope","systemMarine",0.00664824697314037,-0.0183128771168413,0.0309894594101934,18000,0.600666666666667,"fixed"
"UK.system2.3","Realm - slope","systemTerrestrial",0.0199005560442321,-0.00433569600863848,0.0448607524303952,18380.479579974,0.114333333333333,"fixed"
"UK.system2.4","Realm - slope","units",0.0105534601331118,0.0087625400539758,0.0124830925972413,15524.6187837054,NA,"residual"
"UK.system.sigma.1","Realm - fluctuations sigma","systemTerrestrial",0.0845875120218576,0.0623548272560583,0.105378374992142,17999.9999999999,5.55555555555556e-05,"fixed"
"UK.system.sigma.2","Realm - fluctuations sigma","systemMarine",0.0557297925760007,0.0336866169527639,0.0791838718032523,18000,5.55555555555556e-05,"fixed"
"UK.system.sigma.3","Realm - fluctuations sigma","systemFreshwater",0.051068681910488,0.0194707441041828,0.0834583743908297,18000.0000000001,0.00222222222222213,"fixed"
"UK.system.sigma.4","Realm - fluctuations sigma","units",0.0047436185299063,0.00389719731392039,0.00564872440988455,16953.6359262636,NA,"residual"
"UK.system.ci.1","Realm - fluctuations CI","systemTerrestrial",0.192998671420126,0.164957718807273,0.220329521514941,18000,5.55555555555556e-05,"fixed"
"UK.system.ci.2","Realm - fluctuations CI","systemMarine",0.117897440770472,0.0896956407377729,0.145645838485507,18000.0000000001,5.55555555555556e-05,"fixed"
"UK.system.ci.3","Realm - fluctuations CI","systemFreshwater",0.139449409750128,0.0995831039981567,0.180601366912015,18000,5.55555555555556e-05,"fixed"
"UK.system.ci.4","Realm - fluctuations CI","units",0.0108356193479591,0.0088948833687511,0.0128619842726541,15777.2190200012,NA,"residual"
"UK.system.ci.var.1","Realm - fluctuations CI weighted","systemTerrestrial",0.190762800806176,0.157433735404993,0.224426935383235,18000.0000000001,5.55555555555556e-05,"fixed"
"UK.system.ci.var.2","Realm - fluctuations CI weighted","systemMarine",0.134323959189592,0.0981859690054989,0.171867232616933,18000,5.55555555555556e-05,"fixed"
"UK.system.ci.var.3","Realm - fluctuations CI weighted","systemFreshwater",0.164490951520219,0.114673037620378,0.216918699152302,18001.2950862758,5.55555555555556e-05,"fixed"
"UK.system.ci.var.4","Realm - fluctuations CI weighted","units",0.00954256065299199,0.00739864157311894,0.0117980360885698,15014.0305541733,NA,"residual"
"UK.taxa.1","Taxa - mu","ClassActinopterygii",-0.00278935572676219,-0.0202893253372167,0.0144728263403522,16879.0201201485,0.744222222222222,"fixed"
"UK.taxa.2","Taxa - mu","ClassAmphibia",-0.000247248852191858,-0.0513695577101316,0.0524838857381837,18000,0.995111111111111,"fixed"
"UK.taxa.3","Taxa - mu","ClassAves",0.0119153047416801,0.00107016587571707,0.022050280647818,17999.9999999999,0.0274444444444444,"fixed"
"UK.taxa.4","Taxa - mu","ClassElasmobranchii",0.0063064767271748,-0.0446589395287447,0.055517224187497,17998.0511407083,0.811111111111111,"fixed"
"UK.taxa.5","Taxa - mu","ClassMammalia",0.0461736315831131,0.023113039744203,0.069337379100034,17742.25562516,0.000111111111111173,"fixed"
"UK.taxa.6","Taxa - mu","ClassReptilia",0.04352266396766,-0.0184741500488599,0.108292408564012,18000,0.181444444444445,"fixed"
"UK.taxa.7","Taxa - mu","units",0.00358844031636891,0.00296746495711194,0.00422899055940112,10342.9199016299,NA,"residual"
"UK.taxa.var.1","Taxa - weighted","ClassActinopterygii",-0.0101104479305238,-0.032864059554413,0.0113411894562887,17999.9999999999,0.373555555555556,"fixed"
"UK.taxa.var.2","Taxa - weighted","ClassAmphibia",-0.00205210451054072,-0.0645667351054726,0.0611215830540459,17999.9999999999,0.946777777777778,"fixed"
"UK.taxa.var.3","Taxa - weighted","ClassAves",0.0173569120669936,0.00483219347006525,0.0289875741291326,18000,0.00544444444444436,"fixed"
"UK.taxa.var.4","Taxa - weighted","ClassElasmobranchii",0.0017014064230357,-0.0894363331171917,0.086476458949619,17999.9999999999,0.971666666666667,"fixed"
"UK.taxa.var.5","Taxa - weighted","ClassMammalia",0.0426157510454291,0.0145045552926604,0.0694211751106195,18000,0.00166666666666671,"fixed"
"UK.taxa.var.6","Taxa - weighted","ClassReptilia",0.0301277646202633,-0.0392964066413697,0.103266237169009,17999.9999999999,0.404333333333333,"fixed"
"UK.taxa.var.7","Taxa - weighted","units",0.00293385539512696,0.00226412800376328,0.00363206243958568,9676.32286587938,NA,"residual"
"UK.class2.1","Taxa - slope","ClassActinopterygii",-0.00914717923287209,-0.0422901400852425,0.0238944119191729,17081.7564973816,0.593222222222222,"fixed"
"UK.class2.2","Taxa - slope","ClassAmphibia",0.00432553597798119,-0.0948799306861474,0.110934902782901,18000,0.931,"fixed"
"UK.class2.3","Taxa - slope","ClassAves",0.0200968786977708,0.000130141183035448,0.0398254453102709,18434.2340763677,0.0464444444444445,"fixed"
"UK.class2.4","Taxa - slope","ClassElasmobranchii",-0.0139834111169,-0.106002574975719,0.0782752760278527,18000,0.766333333333333,"fixed"
"UK.class2.5","Taxa - slope","ClassMammalia",0.0989903675696393,0.0534103072204744,0.144954179362685,17999.9999999999,5.55555555555556e-05,"fixed"
